,,Section 0,,,,,,,,,,Section I,,,,,,,,Section II,,,,,,,,,,,,,,Section III,,Section IV,,,,,,,,,,,Section V,,,,,,,,,,,Section VI,,,,,,,,,,,Section VII,,,,,,,,,,,,,Section VIII,,,,,,,Section IX,,,,,,,,,,,,Section X,,,,,,,,,,,,,,,,,,,,Section XI,,,,,,,,,
moucheti,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex pale,Maxillary palpus with less than 4 pale bands,3rd main dark area without pale interruption,Wing with 2 pale spots on upper branch of vein 5,,,,,,,,,Legs not speckled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus with 3 pale bands,"Subapical pale band on maxillary palpus broad, about equal to or longer than apical dark band",Bases of hindtarsomeres dark,,,,"Apices of hindtarsomeres 1 to 3 and sometimes 4, distinctly pale banded",,,,,,3rd main dark area much longer than subapical pale spot,"Scutal scales on posterior 0.33 of scutum scanty, narrow and yellowish-brown","Small species, wing length 3.0 mm or less",Foretarsomere 4 dark or indistinctly pale at apex; wing usually without pale fringe spot opposite vein 6,,,,,,,,,,,,,,
squamosus,,Abdominal segments with laterally projecting tufts of scales on segments II-VII?,,,,,,,,,,"Wing with abundant pale areas, costa with at least 4 pale spots","Hindtarsomeres 1 to 4, at least, with apical pale bands",Hindtarsomeres 1 and 2 with pale bands at apices only,"Hindtarsomeres 3 and 4 not all white nor narrowly dark basally, 5 not all dark or with less than basal 0.5 dark",,,Hindtarsomere 5 all dark and 4 with much less than apical 0.5 pale,Small to moderate-sized species (wing length 2.7–4.5 mm); wing with upper branch of vein 2 either entirely dark apart from apex or with a few scattered pale scales only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ziemanni,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at least last 2 hindtarsomeres entirely pale?,,Legs not speckled,,,,,,,,,,,,,,,Legs not speckled,,,,,,,Maxillary palpus very shaggy and unbanded or with 1-4 irregular narrow pale bands,Maxillary palpus with 1-4 pale bands; apex of hindtibia broadly or narrowly pale,Hindtarsomere 3 dark at base,,"Hind tarsomere 1 broadly pale at base, pale area at least as long as broad","Pale streak on hindtibia 1–3 times as long as broad; apical pale band on hindtarsomere 2 narrow, 0.07–0.13 length of segment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretoriensis,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at least last 2 hindtarsomeres entirely pale?,,"Legs speckled, sometimes sparsely",,,,,,,,,,,,,,,Legs speckled,Hindtarsomere 3 dark at base,,,Hindtarsomere 1 broadly pale at apex; vein 1 of wing with 2 pale spots in 2nd main dark area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natalensis,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at least last 2 hindtarsomeres entirely pale?,,"Legs speckled, sometimes sparsely",,,,,,,,,,,,,,,Legs speckled,Hindtarsomere 3 dark at base,,,Hindtarsomere 1 narrowly pale or dark at apex; vein 1 of wing with 1 pale spot in 2nd main dark area,Foretarsomere 1 with 2–4 pale rings; stem of vein 4 of wing largely dark,Fore- and midtarsomeres 2 and 3 pale at apex; wing with fringe spot opposite vein 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ardensis,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark","Legs speckled, sometimes sparsely",,,,,,,,,,,,,,,Legs speckled,,"Maxillary palpus with 4 pale bands, unspeckled; vein 1 of wing with at most 1 pale spot in 2nd main dark area",,,,,,,,,,,,,,Maxillary palpus with 4 pale bands,,,,,Tarsomeres 1 to 4 with conspicuous pale bands on at least the apices; wing with pale fringe spots up to lower branch of vein 5 or 6,3rd main dark area without pale interruption,Hindtarsomere 2 either with less than apical 0.4 white or else prominently marked with dark and pale bands,Hindtarsomeres 2 to 4 with apical pale rings and otherwise dark except for 1 to 2 pale spots; no pale fringe spot opposite wing vein 6,,,,,,,,,,,Maxillary palpus unbanded or banding indistinct,,,,,,,,Maxillary palpus either with 4 pale bands or if with 3 bands then subapical band much shorter than the apical band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maculipalpis,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at least last 2 hindtarsomeres entirely pale?,,"Legs speckled, sometimes sparsely",,,,,,,,,,,,,,,Legs speckled,Hindtarsomeres 3 to 5 entirely pale,"Maxillary palpus with 3 pale bands, usually with some speckling; vein 1 of wing with 2 pale spots in 2nd main dark area (median dark spot)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brumpti,,Abdominal segments with laterally projecting tufts of scales on segments II-VII?,,,,,,,,,,"Wing almost entirely dark, costa without pale spots",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argenteolobatus,southern Africa,Abdominal segments with laterally projecting tufts of scales on segments II-VII?,,,,,,,,,,"Wing with abundant pale areas, costa with at least 4 pale spots",Hindtarsomeres 1 to 5 entirely dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
murphyi,West Africa,Abdominal segments with laterally projecting tufts of scales on segments II-VII?,,,,,,,,,,"Wing with abundant pale areas, costa with at least 4 pale spots",Hindtarsomeres 1 to 5 entirely dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cinctus,,Abdominal segments with laterally projecting tufts of scales on segments II-VII?,,,,,,,,,,"Wing with abundant pale areas, costa with at least 4 pale spots","Hindtarsomeres 1 to 4, at least, with apical pale bands",Hindtarsomeres 1 and 2 with definite pale and dark rings in addition to apical pale bands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cristipalpis,,Abdominal segments with laterally projecting tufts of scales on segments II-VII?,,,,,,,,,,"Wing with abundant pale areas, costa with at least 4 pale spots","Hindtarsomeres 1 to 4, at least, with apical pale bands",Hindtarsomeres 1 and 2 with pale bands at apices only,"Hindtarsomeres 3 and 4 all white or narrowly dark basally, 5 all dark or at least basal 0.5 dark",Moderate-sized species; abdominal scale-tufts short and dark; 0.5 or more of hindtarsomere 1 pale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
okuensis,,Abdominal segments with laterally projecting tufts of scales on segments II-VII?,,,,,,,,,,"Wing with abundant pale areas, costa with at least 4 pale spots","Hindtarsomeres 1 to 4, at least, with apical pale bands",Hindtarsomeres 1 and 2 with pale bands at apices only,"Hindtarsomeres 3 and 4 all white or narrowly dark basally, 5 all dark or at least basal 0.5 dark","Very large species, abdominal segments II–VII with long lateral tufts of yellowish and dark scales; hindtarsomere 1 largely dark",Pale fringe spot present opposite lower branch of vein 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
implexus,,Abdominal segments with laterally projecting tufts of scales on segments II-VII?,,,,,,,,,,"Wing with abundant pale areas, costa with at least 4 pale spots","Hindtarsomeres 1 to 4, at least, with apical pale bands",Hindtarsomeres 1 and 2 with pale bands at apices only,"Hindtarsomeres 3 and 4 all white or narrowly dark basally, 5 all dark or at least basal 0.5 dark","Very large species, abdominal segments II–VII with long lateral tufts of yellowish and dark scales; hindtarsomere 1 largely dark",No pale fringe spot opposite lower branch of vein 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swahilicus,,Abdominal segments with laterally projecting tufts of scales on segments II-VII?,,,,,,,,,,"Wing with abundant pale areas, costa with at least 4 pale spots","Hindtarsomeres 1 to 4, at least, with apical pale bands",Hindtarsomeres 1 and 2 with pale bands at apices only,"Hindtarsomeres 3 and 4 not all white nor narrowly dark basally, 5 not all dark or with less than basal 0.5 dark",,,Hindtarsomere 5 all dark and 4 with much less than apical 0.5 pale,Very small species (wing length 2.5-2.8 mm); wing with upper branch of vein 2 largely pale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cydippis,,Abdominal segments with laterally projecting tufts of scales on segments II-VII?,,,,,,,,,,"Wing with abundant pale areas, costa with at least 4 pale spots","Hindtarsomeres 1 to 4, at least, with apical pale bands",Hindtarsomeres 1 and 2 with pale bands at apices only,"Hindtarsomeres 3 and 4 not all white nor narrowly dark basally, 5 not all dark or with less than basal 0.5 dark",,,Hindtarsomere 5 all dark and 4 with much less than apical 0.5 pale,Small to moderate-sized species (wing length 2.7–4.5 mm); wing with upper branch of vein 2 either entirely dark apart from apex or with a few scattered pale scales only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maliensis,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at least last 2 hindtarsomeres entirely pale?,,"Legs speckled, sometimes sparsely",,,,,,,,,,,,,,,Legs speckled,Hindtarsomeres 3 to 5 entirely pale,"Maxillary palpus with 4 pale bands, unspeckled; vein 1 of wing with at most 1 pale spot in 2nd main dark area","Midtarsomeres 2 to 4 entirely dark; vein 1 of wing dark at base, basal 0.5 of stem of vein 4 with small pale areas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deemingi,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at least last 2 hindtarsomeres entirely pale?,,"Legs speckled, sometimes sparsely",,,,,,,,,,,,,,,Legs speckled,Hindtarsomeres 3 to 5 entirely pale,"Maxillary palpus with 4 pale bands, unspeckled; vein 1 of wing with at most 1 pale spot in 2nd main dark area","Midtarsomeres 2 to 4 with pale apices; vein 1 of wing pale at base, basal 0.5 of stem of vein 4 entirely pale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
machardyi,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at least last 2 hindtarsomeres entirely pale?,,"Legs speckled, sometimes sparsely",,,,,,,,,,,,,,,Legs speckled,Hindtarsomere 3 dark at base,,,Hindtarsomere 1 narrowly pale or dark at apex; vein 1 of wing with 1 pale spot in 2nd main dark area,Foretarsomere 1 with 5-9 pale rings; stem of vein 4 of wing largely pale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buxtoni,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at least last 2 hindtarsomeres entirely pale?,,"Legs speckled, sometimes sparsely",,,,,,,,,,,,,,,Legs speckled,Hindtarsomere 3 dark at base,,,Hindtarsomere 1 narrowly pale or dark at apex; vein 1 of wing with 1 pale spot in 2nd main dark area,Foretarsomere 1 with 2–4 pale rings; stem of vein 4 of wing largely dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caliginosus,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at least last 2 hindtarsomeres entirely pale?,,Legs not speckled,,,,,,,,,,,,,,,Legs not speckled,,,,,,,Maxillary palpus very shaggy and unbanded or with 1-4 irregular narrow pale bands,Maxillary palpus without pale bands; no pale spot at apex of hindtibia or base of hindtarsomere 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paludis,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at least last 2 hindtarsomeres entirely pale?,,Legs not speckled,,,,,,,,,,,,,,,Legs not speckled,,,,,,,Maxillary palpus very shaggy and unbanded or with 1-4 irregular narrow pale bands,Maxillary palpus with 1-4 pale bands; apex of hindtibia broadly or narrowly pale,Hindtarsomere 3 entirely pale,Base of hindtarsomere 1 dark; pale fringe spot present opposite lower branch of wing vein 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tenebrosus,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing without a pale spot on basal 0.5 of costa,,,,,,,,,,,,,Legs not speckled,,,,,,,Maxillary palpus very shaggy and unbanded or with 1-4 irregular narrow pale bands,Maxillary palpus with 1-4 pale bands; apex of hindtibia broadly or narrowly pale,Hindtarsomere 3 dark at base,,Hind tarsomere 1 entirely dark basally or at most with a very narrow band of pale scales not as broad as the width of the tarsomere,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus shaggy to near tip,Maxillary palpus with pale scales forming more or less definite pale bands; hindtarsomeres 3 and 4 narrowly or broadly pale at apices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crypticus,South Africa,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at least last 2 hindtarsomeres entirely pale?,,Legs not speckled,,,,,,,,,,,,,,,Legs not speckled,,,,,,,Maxillary palpus very shaggy and unbanded or with 1-4 irregular narrow pale bands,Maxillary palpus with 1-4 pale bands; apex of hindtibia broadly or narrowly pale,Hindtarsomere 3 dark at base,,"Hind tarsomere 1 broadly pale at base, pale area at least as long as broad",Apex of hindtibia with a pale streak 3-5 times as long as broad; apical pale band on hindtarsomere 2 0.13-0.4 length of tarsomere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
namibiensis,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at least last 2 hindtarsomeres entirely pale?,,Legs not speckled,,,,,,,,,,,,,,,Legs not speckled,,,,,,,,Maxillary palpus with 1-4 pale bands; apex of hindtibia broadly or narrowly pale,Hindtarsomere 3 dark at base,,"Hind tarsomere 1 broadly pale at base, pale area at least as long as broad","Pale streak on hindtibia 1–3 times as long as broad; apical pale band on hindtarsomere 2 narrow, 0.07–0.13 length of segment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rufipes,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,,,Legs not speckled,,,,,,Wing with 2 pale spots on upper branch of vein 5,,,,,,,,,Legs not speckled,,,,,,,"Maxillary palpus smooth with 3 pale bands, the 2 distal ones broad or rarely fused",Maxillary palpus with 1-4 pale bands; apex of hindtibia broadly or narrowly pale,,,,,3rd main dark area on wing vein 1 without a pale interruption; foretarsomeres 1 to 3 usually without distinct apical pale bands,,Maxillary palpus shaggy; costa and vein 1 of wing without usual main dark areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hancocki,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at least last 2 hindtarsomeres entirely pale?,,Legs not speckled,,,,,,,,,,,,,,,Legs not speckled,,,,,,,Maxillary palpus very shaggy and unbanded or with 1-4 irregular narrow pale bands,Maxillary palpus with 1-4 pale bands; apex of hindtibia broadly or narrowly pale,Hindtarsomere 3 entirely pale,,,,"3rd main dark area on wing vein 1 with a pale interruption, or with a short extension of the subcostal pale spot into the dark area on vein 1; foretarsomeres 1 to 3 with apical pale bands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brohieri,western Africa,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at least last 2 hindtarsomeres entirely pale?,,Legs not speckled,,,,,,,,,,,,,,,Legs not speckled,,,,,,,Maxillary palpus very shaggy and unbanded or with 1-4 irregular narrow pale bands,Maxillary palpus with 1-4 pale bands; apex of hindtibia broadly or narrowly pale,,,,,"3rd main dark area on wing vein 1 with a pale interruption, or with a short extension of the subcostal pale spot into the dark area on vein 1; foretarsomeres 1 to 3 with apical pale bands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
theileri,Eastern & southerm Africa,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at least last 2 hindtarsomeres entirely pale?,,Legs not speckled,,,,,,,,,,,,,,,Legs not speckled,,,,,,,Maxillary palpus very shaggy and unbanded or with 1-4 irregular narrow pale bands,Maxillary palpus with 1-4 pale bands; apex of hindtibia broadly or narrowly pale,Hindtarsomere 3 dark at base,,,,"3rd main dark area on wing vein 1 with a pale interruption, or with a short extension of the subcostal pale spot into the dark area on vein 1; foretarsomeres 1 to 3 with apical pale bands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kingi,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 mainly or entirely dark, hindtarsomere 4 white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Femora and tibiae speckled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
symesi,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 mainly or entirely dark, hindtarsomere 4 white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Femora and tibiae with at most apical bands only,Maxillary palpus shaggy; costa and vein 1 of wing without usual main dark areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hervyi,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark","Legs speckled, sometimes sparsely",,,,,,,,,,,,,,,Legs speckled,,,,,,,,,,,,,,,,Maxillary palpus with 3 pale bands,Maxillary palpus with apical dark spot about equal to or longer than apical pale band; 2nd main dark area on wing vein 1 with 1 pale interruption,"3rd main dark area of wing vein 1 without a pale interruption; abdominal terga fairly heavily clothed with cream or yellowish scales, especially on terga VI and VII",Maxillary palpus speckled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salbaii,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark","Legs speckled, sometimes sparsely",,,,,,,,,,,,,,,Legs speckled,,,,,,,,,,,,,,,,Maxillary palpus with 3 pale bands,Maxillary palpus with apical dark spot about equal to or longer than apical pale band; 2nd main dark area on wing vein 1 with 1 pale interruption,"3rd main dark area of wing vein 1 without a pale interruption; abdominal terga fairly heavily clothed with cream or yellowish scales, especially on terga VI and VII",Maxillary palpus not speckled,Foretarsomere 1 with some speckling; base of costa with 2 pale spots; stem of wing vein 2 entirely pale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dancalicus,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark","Legs speckled, sometimes sparsely",,,,,,,,,,,,,,,Legs speckled,,,,,,,,,,,,,,,,Maxillary palpus with 3 pale bands,Maxillary palpus with apical dark spot about equal to or longer than apical pale band; 2nd main dark area on wing vein 1 with 1 pale interruption,"3rd main dark area of wing vein 1 without a pale interruption; abdominal terga fairly heavily clothed with cream or yellowish scales, especially on terga VI and VII",Maxillary palpus not speckled,Foretarsomere 1 not speckled; base of costa with 1 pale spot; stem of wing vein 2 extensively dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vernus,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex pale,Maxillary palpus with 4 pale bands,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus with 4 pale bands,,,,,All tarsi completely dark; wing without pale fringe spots posterior to vein 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3rd main dark area without a pale interruption,,2nd main dark area of wing vein 1 with 1 pale interruption,"Pale bands on maxillary palpus mostly narrow, basal band not overlapping base of 3rd segment","Pale fringe spots on wing present opposite veins posterior to vein 3, sometimes including vein 6; femora and tibiae not speckled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multicinctus,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark","Legs speckled, sometimes sparsely",,,,,,,,,,,,,,,Legs speckled,,,,,,,,,,,,,,,,Maxillary palpus with 4 pale bands,,,,,Tarsomeres 1 to 4 with conspicuous pale bands on at least the apices; wing with pale fringe spots up to lower branch of vein 5 or 6,3rd main dark area without pale interruption,Hindtarsomere 2 with about apical 0.4 to 0.5 white and the rest dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vinckei,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark","Legs speckled, sometimes sparsely",,,,,,,,,,,,,,,Legs speckled,,,,,,,,,,,,,,,,Maxillary palpus with 4 pale bands,,,,,Tarsomeres 1 to 4 with conspicuous pale bands on at least the apices; wing with pale fringe spots up to lower branch of vein 5 or 6,3rd main dark area without pale interruption,Hindtarsomere 2 either with less than apical 0.4 white or else prominently marked with dark and pale bands,Hindtarsomeres 2 to 4 with conspicuous dark and pale rings in addition to apical pale bands; pale fringe spot present opposite vein 6,Foretarsomeres mainly pale with narrow dark markings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dureni,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark","Legs speckled, sometimes sparsely",,,,,,,,,,,,,,,Legs speckled,,,,,,,,,,,,,,,,Maxillary palpus with 4 pale bands,,,,,Tarsomeres 1 to 4 with conspicuous pale bands on at least the apices; wing with pale fringe spots up to lower branch of vein 5 or 6,3rd main dark area without pale interruption,Hindtarsomere 2 either with less than apical 0.4 white or else prominently marked with dark and pale bands,Hindtarsomeres 2 to 4 with conspicuous dark and pale rings in addition to apical pale bands; pale fringe spot present opposite vein 6,Foretarsomeres mainly dark with narrow pale rings,"Scales on abdominal tergum VIII dense and distributed over whole tergum, sometimes with a few scales on lateral borders of tergum VII",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
